Date,Open,High,Low,Close,Adj Close,Volume
2025-06-17,471.63,474.95,470.32,474.25,474.25,15414100
2025-06-18,474.21,477.19,470.7,476.43,476.43,17526500
2025-06-20,478.41,479.63,473.09,473.62,473.62,37576200
2025-06-23,474.42,483.88,468.77,482.15,482.15,24864000
2025-06-24,485.08,487.95,482.94,486.23,486.23,22305600
2025-06-25,488.14,490.64,485.51,488.37,488.37,17495100
2025-06-26,489.07,494.09,488.9,493.51,493.51,21578900
2025-06-27,493.61,495.34,489.12,492.01,492.01,34539200
2025-06-30,493.1,496.79,491.4,493.47,493.47,28369000
2025-07-01,492.54,494.1,487.09,488.15,488.15,19945400
2025-07-02,486.11,489.59,484.83,487.2,487.2,16319600
2025-07-03,489.9,496.17,489.53,494.89,494.89,13984800
2025-07-07,493.44,494.8,491.31,493.78,493.78,13981600
2025-07-08,493.3,494.25,490.19,492.68,492.68,11846600
2025-07-09,496.34,502.76,495.78,499.52,499.52,18659500
2025-07-10,499.06,500.44,493.81,497.51,497.51,16492100
2025-07-11,494.52,501.03,493.86,499.33,499.33,16459500
2025-07-14,497.55,499.98,497.06,499.03,499.03,12058800
2025-07-15,499.03,504.27,498.81,501.81,501.81,14927200
2025-07-16,501.18,502.7,497.91,501.61,501.61,15154400
2025-07-17,501.67,509.3,501.61,507.65,507.65,17503100
2025-07-18,510.4,510.56,503.41,506.01,506.01,21209700
2025-07-21,502.69,508.03,501.54,506.02,506.02,14066800
2025-07-22,506.92,507.15,501.27,501.27,501.27,13868600
2025-07-23,502.73,502.77,496.73,501.86,501.86,16396600
2025-07-24,504.74,509.6,503.28,506.83,506.83,16107000
2025-07-25,508.41,514.18,506.32,509.64,509.64,19125700
2025-07-28,510.01,510.92,506.08,508.44,508.44,14308000
2025-07-29,511.44,513.52,507.51,508.51,508.51,16469200
2025-07-30,511.09,511.86,505.4,509.17,509.17,26380400
2025-07-31,550.83,551.05,527.69,529.27,529.27,51617300
2025-08-01,530.76,531.55,516.73,519.96,519.96,28977600
